2020-07-31 16:57:25 status unpacked libsepol1:armhf 3.0-1
2020-07-31 16:57:25 install libsmartcols1:armhf <none> 2.34-0.1ubuntu9
2020-07-31 16:57:25 status half-installed libsmartcols1:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:25 status unpacked libsmartcols1:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:25 install libss2:armhf <none> 1.45.5-2ubuntu1
2020-07-31 16:57:25 status half-installed libss2:armhf 1.45.5-2ubuntu1
2020-07-31 16:57:25 status unpacked libss2:armhf 1.45.5-2ubuntu1
2020-07-31 16:57:25 install libsystemd0:armhf <none> 245.4-4ubuntu3
2020-07-31 16:57:25 status half-installed libsystemd0:armhf 245.4-4ubuntu3
2020-07-31 16:57:25 status unpacked libsystemd0:armhf 245.4-4ubuntu3
2020-07-31 16:57:25 install libtinfo6:armhf <none> 6.2-0ubuntu2
2020-07-31 16:57:25 status half-installed libtinfo6:armhf 6.2-0ubuntu2
2020-07-31 16:57:25 status unpacked libtinfo6:armhf 6.2-0ubuntu2
2020-07-31 16:57:25 install libudev1:armhf <none> 245.4-4ubuntu3
2020-07-31 16:57:25 status half-installed libudev1:armhf 245.4-4ubuntu3
2020-07-31 16:57:25 status unpacked libudev1:armhf 245.4-4ubuntu3
2020-07-31 16:57:25 install libuuid1:armhf <none> 2.34-0.1ubuntu9
2020-07-31 16:57:25 status half-installed libuuid1:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:25 status unpacked libuuid1:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:25 install libzstd1:armhf <none> 1.4.4+dfsg-3
2020-07-31 16:57:25 status half-installed libzstd1:armhf 1.4.4+dfsg-3
2020-07-31 16:57:25 status unpacked libzstd1:armhf 1.4.4+dfsg-3
2020-07-31 16:57:25 install login:armhf <none> 1:4.8.1-1ubuntu5
2020-07-31 16:57:25 status half-installed login:armhf 1:4.8.1-1ubuntu5
2020-07-31 16:57:25 status unpacked login:armhf 1:4.8.1-1ubuntu5
2020-07-31 16:57:25 install logsave:armhf <none> 1.45.5-2ubuntu1
2020-07-31 16:57:25 status half-installed logsave:armhf 1.45.5-2ubuntu1
2020-07-31 16:57:25 status unpacked logsave:armhf 1.45.5-2ubuntu1
2020-07-31 16:57:25 install lsb-base:all <none> 11.1.0ubuntu2
2020-07-31 16:57:25 status half-installed lsb-base:all 11.1.0ubuntu2
2020-07-31 16:57:25 status unpacked lsb-base:all 11.1.0ubuntu2
2020-07-31 16:57:25 upgrade mawk:armhf 1.3.4.20200120-2 1.3.4.20200120-2
2020-07-31 16:57:25 status half-configured mawk:armhf 1.3.4.20200120-2
2020-07-31 16:57:25 status unpacked mawk:armhf 1.3.4.20200120-2
2020-07-31 16:57:25 status half-installed mawk:armhf 1.3.4.20200120-2
2020-07-31 16:57:25 status unpacked mawk:armhf 1.3.4.20200120-2
2020-07-31 16:57:25 install mount:armhf <none> 2.34-0.1ubuntu9
2020-07-31 16:57:25 status half-installed mount:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:25 status unpacked mount:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:25 install ncurses-base:all <none> 6.2-0ubuntu2
2020-07-31 16:57:25 status half-installed ncurses-base:all 6.2-0ubuntu2
2020-07-31 16:57:25 status unpacked ncurses-base:all 6.2-0ubuntu2
2020-07-31 16:57:25 install ncurses-bin:armhf <none> 6.2-0ubuntu2
2020-07-31 16:57:25 status half-installed ncurses-bin:armhf 6.2-0ubuntu2
2020-07-31 16:57:25 status unpacked ncurses-bin:armhf 6.2-0ubuntu2
2020-07-31 16:57:26 install passwd:armhf <none> 1:4.8.1-1ubuntu5
2020-07-31 16:57:26 status half-installed passwd:armhf 1:4.8.1-1ubuntu5
2020-07-31 16:57:26 status unpacked passwd:armhf 1:4.8.1-1ubuntu5
2020-07-31 16:57:26 upgrade perl-base:armhf 5.30.0-9build1 5.30.0-9build1
2020-07-31 16:57:26 status half-configured perl-base:armhf 5.30.0-9build1
2020-07-31 16:57:26 status unpacked perl-base:armhf 5.30.0-9build1
2020-07-31 16:57:26 status half-installed perl-base:armhf 5.30.0-9build1
2020-07-31 16:57:26 status unpacked perl-base:armhf 5.30.0-9build1
2020-07-31 16:57:26 install procps:armhf <none> 2:3.3.16-1ubuntu2
2020-07-31 16:57:26 status half-installed procps:armhf 2:3.3.16-1ubuntu2
2020-07-31 16:57:27 status unpacked procps:armhf 2:3.3.16-1ubuntu2
2020-07-31 16:57:27 install sed:armhf <none> 4.7-1
2020-07-31 16:57:27 status half-installed sed:armhf 4.7-1
2020-07-31 16:57:27 status unpacked sed:armhf 4.7-1
2020-07-31 16:57:27 install sensible-utils:all <none> 0.0.12+nmu1
2020-07-31 16:57:27 status half-installed sensible-utils:all 0.0.12+nmu1
2020-07-31 16:57:27 status unpacked sensible-utils:all 0.0.12+nmu1
2020-07-31 16:57:27 install sysvinit-utils:armhf <none> 2.96-2.1ubuntu1
2020-07-31 16:57:27 status half-installed sysvinit-utils:armhf 2.96-2.1ubuntu1
2020-07-31 16:57:27 status unpacked sysvinit-utils:armhf 2.96-2.1ubuntu1
